Year,Month,Day,Hour,Load,Site-1 Temp,Site-2 Temp,Site-3 Temp,Site-4 Temp,Site-5 Temp,Site-1 GHI,Site-2 GHI,Site-3 GHI,Site-4 GHI,Site-5 GHI,Combined_Temp,Combined_GHI,Day_Clipped,DayOfYear,dow,Timestep,sin_day,cos_day,sin_week,cos_week,sin_year,cos_year,is_weekend,Date,is_holiday,lag_1_temp,lag_24_temp,delta_1_temp,delta_24_temp,lag_1_ghi,lag_24_ghi,delta_1_ghi,delta_24_ghi,CDH,HDH
1,1,1,1,1997.0,8.0,8.2,5.3,9.4,8.1,0,0,0,0,0,-4.042278634795733,-1.6461350356732445,1,1,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0,2021-01-01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.042278634795732
1,1,1,2,1921.0,8.3,8.6,5.2,8.6,7.1,0,0,0,0,0,-4.137674035906879,-1.6461350356732445,1,1,0,1,0.49999999999999994,0.8660254037844387,0.07473009358642425,0.9972037971811801,0.0028670667118963085,0.9999958899557886,0,2021-01-01,1,-4.042278634795733,0.0,-0.09539540111114597,0.0,-1.6461350356732445,0.0,0.0,0.0,0.0,24.13767403590688
1,1,1,3,1861.0,8.1,8.8,5.1,8.7,6.2,0,0,0,0,0,-4.205328930628449,-1.6461350356732445,1,1,0,2,0.8660254037844386,0.5000000000000001,0.14904226617617444,0.9888308262251285,0.005734109856250731,0.9999835598569391,0,2021-01-01,1,-4.137674035906879,0.0,-0.06765489472156982,0.0,-1.6461350356732445,0.0,0.0,0.0,0.0,24.205328930628447
1,1,1,4,1833.0,7.6,8.1,4.3,8.5,6.0,0,0,0,0,0,-4.409676234179682,-1.6461350356732445,1,1,0,3,1.0,6.123233995736766e-17,0.2225209339563144,0.9749279121818236,0.008601105865715108,0.9999630098048061,0,2021-01-01,1,-4.205328930628449,0.0,-0.20434730355123332,0.0,-1.6461350356732445,0.0,0.0,0.0,0.0,24.40967623417968
1,1,1,5,1847.0,7.3,7.5,4.0,8.6,6.9,0,0,0,0,0,-4.435789724549862,-1.6461350356732445,1,1,0,4,0.8660254037844387,-0.49999999999999983,0.2947551744109042,0.9555728057861407,0.011468031173328733,0.9999342399683129,0,2021-01-01,1,-4.409676234179682,0.0,-0.026113490370179626,0.0,-1.6461350356732445,0.0,0.0,0.0,0.0,24.435789724549863
1,1,1,6,1910.0,6.6,7.3,4.0,7.8,7.3,0,0,0,0,0,-4.568203640924901,-1.6461350356732445,1,1,0,5,0.49999999999999994,-0.8660254037844387,0.365341024366395,0.9308737486442042,0.01433486221271208,0.9998972505839501,0,2021-01-01,1,-4.435789724549862,0.0,-0.13241391637503952,0.0,-1.6461350356732445,0.0,0.0,0.0,0.0,24.5682036409249
1,1,1,7,1972.0,6.9,7.6,5.3,7.7,7.1,0,0,0,0,0,-4.453775707552221,-1.6461350356732445,1,1,0,6,1.2246467991473532e-16,-1.0,0.4338837391175581,0.9009688679024191,0.017201575418260506,0.9998520419557735,0,2021-01-01,1,-4.568203640924901,0.0,0.11442793337268053,0.0,-1.6461350356732445,0.0,0.0,0.0,0.0,24.45377570755222
1,1,1,8,1919.0,6.8,7.1,5.8,7.3,7.3,0,0,0,0,0,-4.505767098962182,-1.6461350356732445,1,1,0,7,-0.4999999999999998,-0.8660254037844388,0.49999999999999994,0.8660254037844387,0.02006814722533798,0.9997986144554023,0,2021-01-01,1,-4.453775707552221,0.0,-0.05199139140996145,0.0,-1.6461350356732445,0.0,0.0,0.0,0.0,24.50576709896218
1,1,1,9,1786.0,9.3,9.1,8.2,9.3,9.4,73,70,65,77,79,-3.550936058014198,-1.1115504381113364,1,1,0,8,-0.8660254037844384,-0.5000000000000004,0.5633200580636221,0.8262387743159949,0.022934554070470774,0.9997369685220151,0,2021-01-01,1,-4.505767098962182,0.0,0.9548310409479841,0.0,-1.6461350356732445,0.0,0.5345845975619081,0.0,0.0,23.550936058014198
1,1,1,10,1689.0,13.0,13.9,13.7,13.1,12.7,245,238,245,251,252,-1.7314263541521675,0.160278595100441,1,1,0,9,-1.0,-1.8369701987210297e-16,0.6234898018587335,0.7818314824680298,0.02580077239154117,0.999667104662347,0,2021-01-01,1,-3.550936058014198,0.0,1.8195097038620305,0.0,-1.1115504381113364,0.0,1.2718290332117774,0.0,0.0,21.731426354152166
1,1,1,11,1603.0,15.6,16.4,16.5,16.2,15.8,401,393,401,407,409,-0.5035962227775551,1.304233935100195,1,1,0,10,-0.8660254037844386,0.5000000000000001,0.6801727377709194,0.7330518718298263,0.028666778627981133,0.9995890234506851,0,2021-01-01,1,-1.7314263541521675,0.0,1.2278301313746125,0.0,0.160278595100441,0.0,1.143955339999754,0.0,0.0,20.503596222777556
1,1,1,12,1552.0,16.6,16.6,17.7,17.3,17.0,513,508,512,519,520,-0.10961972947824075,2.126558983770666,1,1,0,11,-0.5000000000000004,0.8660254037844384,0.7330518718298262,0.6801727377709195,0.03153254922096596,0.9995027255288639,0,2021-01-01,1,-0.5035962227775551,0.0,0.3939764932993144,0.0,1.304233935100195,0.0,0.822325048670471,0.0,0.0,20.10961972947824
1,1,1,13,1561.0,16.8,16.3,17.9,17.4,17.2,568,560,567,573,574,-0.08286226712398248,2.52270084495762,1,1,0,12,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,0.03439806061360801,0.9994082116062598,0,2021-01-01,1,-0.10961972947824075,0.0,0.02675746235425827,0.0,2.126558983770666,0.0,0.3961418611869538,0.0,0.0,20.082862267123982
1,1,1,14,1575.0,16.3,16.2,17.6,17.0,17.0,559,555,559,565,565,-0.2142861971103133,2.465144546127212,1,1,0,13,0.5,0.8660254037844386,0.8262387743159949,0.563320058063622,0.03726328925115024,0.9993054824597857,0,2021-01-01,1,-0.08286226712398248,0.0,-0.13142392998633082,0.0,2.52270084495762,0.0,-0.057556298830407915,0.0,0.0,20.21428619711031
1,1,1,15,1745.0,15.8,15.8,16.8,16.2,15.8,487,477,473,494,494,-0.5270020754212166,1.9116353059989668,1,1,0,14,0.8660254037844384,0.5000000000000006,0.8660254037844386,0.5000000000000001,0.040128211581159874,0.9991945389338843,0,2021-01-01,1,-0.2142861971103133,0.0,-0.3127158783109033,0.0,2.465144546127212,0.0,-0.5535092401282451,0.0,0.0,20.527002075421215
1,1,1,16,1987.0,15.6,15.4,16.1,15.8,15.2,333,308,339,342,343,-0.7177346785561298,0.7986758626143663,1,1,0,15,1.0,1.1943401194869635e-15,0.9009688679024191,0.4338837391175582,0.042992804053722064,0.9990753819405211,0,2021-01-01,1,-0.5270020754212166,0.0,-0.19073260313491325,0.0,1.9116353059989668,0.0,-1.1129594433846006,0.0,0.0,20.71773467855613
1,1,1,17,2277.0,15.3,14.8,15.1,15.1,14.7,168,170,178,174,174,-0.9782029679366304,-0.378918400565337,1,1,0,16,0.8660254037844392,-0.4999999999999992,0.9308737486442042,0.365341024366395,0.04585704312163339,0.9989480124591773,0,2021-01-01,1,-0.7177346785561298,0.0,-0.2604682893805006,0.0,0.7986758626143663,0.0,-1.1775942631797034,0.0,0.0,20.97820296793663
1,1,1,18,2515.0,14.4,13.5,12.9,13.8,12.9,29,39,37,29,30,-1.6050468116737346,-1.4066434970760298,1,1,0,17,0.4999999999999998,-0.8660254037844388,0.9555728057861408,0.2947551744109041,0.04872090524059545,0.9988124315368411,0,2021-01-01,1,-0.9782029679366304,0.0,-0.6268438437371042,0.0,-0.378918400565337,0.0,-1.0277250965106928,0.0,0.0,21.605046811673734
1,1,1,19,2525.0,13.3,13.3,11.6,13.5,11.8,0,0,0,0,0,-1.9288998442638228,-1.6461350356732445,1,1,0,18,3.6739403974420594e-16,-1.0,0.9749279121818236,0.22252093395631445,0.051584366869408364,0.9986686402879997,0,2021-01-01,1,-1.6050468116737346,0.0,-0.32385303259008813,0.0,-1.4066434970760298,0.0,-0.23949153859721473,0.0,0.0,21.928899844263825
1,1,1,20,2465.0,12.5,13.1,11.3,13.2,11.4,0,0,0,0,0,-2.1053867906700563,-1.6461350356732445,1,1,0,19,-0.49999999999999917,-0.8660254037844392,0.9888308262251285,0.14904226617617464,0.054447404470164384,0.99851663989463,0,2021-01-01,1,-1.9288998442638228,0.0,-0.17648694640623352,0.0,-1.6461350356732445,0.0,0.0,0.0,0.0,22.105386790670057
1,1,1,21,2378.0,12.1,12.8,11.5,12.8,11.2,0,0,0,0,0,-2.216457569044756,-1.6461350356732445,1,1,0,20,-0.8660254037844387,-0.49999999999999983,0.9972037971811801,0.07473009358642439,0.057309994508441264,0.9983564316061887,0,2021-01-01,1,-2.1053867906700563,0.0,-0.11107077837469959,0.0,-1.6461350356732445,0.0,0.0,0.0,0.0,22.216457569044756
1,1,1,22,2251.0,12.3,12.1,11.5,13.0,11.3,0,0,0,0,0,-2.241285728820178,-1.6461350356732445,1,1,0,21,-1.0,-4.286263797015736e-16,1.0,6.123233995736766e-17,0.06017211345349576,0.9981880167396018,0,2021-01-01,1,-2.216457569044756,0.0,-0.024828159775422076,0.0,-1.6461350356732445,0.0,0.0,0.0,0.0,22.241285728820177
1,1,1,23,2077.0,12.1,11.8,11.7,12.6,11.0,0,0,0,0,0,-2.341426015576945,-1.6461350356732445,1,1,0,22,-0.8660254037844392,0.4999999999999991,0.9972037971811801,-0.07473009358642405,0.06303373777845707,0.9980113966792548,0,2021-01-01,1,-2.241285728820178,0.0,-0.1001402867567669,0.0,-1.6461350356732445,0.0,0.0,0.0,0.0,22.341426015576946
1,1,1,24,1923.0,11.9,11.8,11.2,11.8,10.3,0,0,0,0,0,-2.5258670576489974,-1.6461350356732445,1,1,0,23,-0.5000000000000014,0.8660254037844378,0.9888308262251285,-0.1490422661761743,0.06589484396052023,0.9978265728769798,0,2021-01-01,1,-2.341426015576945,0.0,-0.18444104207205259,0.0,-1.6461350356732445,0.0,0.0,0.0,0.0,22.525867057649
1,1,2,1,1849.0,11.6,11.4,10.3,11.4,10.0,0,0,0,0,0,-2.7144146156511986,-1.6461350356732445,2,2,1,24,-4.898587196589413e-16,1.0,0.9749279121818236,-0.22252093395631434,0.06875540848113941,0.9976335468520451,0,2021-01-02,0,-2.5258670576489974,-4.042278634795733,-0.18854755800220113,1.3278640191445343,-1.6461350356732445,-1.6461350356732445,0.0,0.0,0.0,22.714414615651197
